,,2020,2030,2040,2050
generators,residential rural solar thermal,0.0,26574.97777599274,551499.6278845272,558541.9086363298
generators,residential urban decentral solar thermal,0.0,31751.730141001328,631900.8003128316,639685.5712436709
generators,services rural solar thermal,0.0,26432.199513917614,540281.4662365825,547269.3289450783
generators,services urban decentral solar thermal,0.0,30402.548555211066,608732.3012097587,616453.8820538671
generators,uranium,0.0,0.0,0.0,0.0
generators,urban central solar thermal,0.0,33056.73123110729,1667626.9779385931,1680384.969861731
links,BioSNG,0.0,9223953.194945546,25639104.08543465,43062930.35866578
links,DAC,0.0,5465571176.561351,5881897480.058213,5909834094.637011
links,EV charger,0.0,0.0,0.0,0.0
links,H2 Fuel Cell,0.0,88963.47368078298,2890294.023062776,2821070.807961669
links,H2 pipeline,0.0,255775355.882653,2011884370.733139,3461881405.3603477
links,H2 pipeline retrofitted,0.0,250915407.78336078,635933106.7147932,887686567.2642113
links,H2 turbine,0.0,71095363.80785955,264571044.0185118,264588807.38836518
links,Haber-Bosch,0.0,1700171853.1604774,1886250873.9851038,2048445604.1323447
links,SMR CC,0.0,1899626.234164294,3270679.1214984898,3286770.4303142834
links,Sabatier,0.0,45076.042995908145,1414994.846787188,1426511.7751971094
links,V2G,0.0,0.0,0.0,0.0
links,ammonia cracker,0.0,48164.7985320347,932889.3374759281,944840.4654663235
links,biogas to gas CC,0.0,361642451.7029866,719499830.870811,1234499792.7800899
links,biomass to liquid,0.0,151339.57436396662,2810185.2069210326,2847001.0684934445
links,coal,0.0,7314446474.271735,4806635885.1907835,1679137387.0964632
links,lignite,0.0,8467026962.591779,3347938371.0765476,1298769739.012585
links,methanolisation,0.0,1474736586.983927,2375610315.824918,3086699942.4613905
links,nuclear,0.0,48763808456.00713,27101482298.374374,19298308101.617653
links,oil,0.0,88804060.27730364,48886693.21470816,19840459.099442437
links,residential rural water tanks charger,0.0,0.0,0.0,0.0
links,residential rural water tanks discharger,0.0,0.0,0.0,0.0
links,residential urban decentral water tanks charger,0.0,0.0,0.0,0.0
links,residential urban decentral water tanks discharger,0.0,0.0,0.0,0.0
links,services rural water tanks charger,0.0,0.0,0.0,0.0
links,services rural water tanks discharger,0.0,0.0,0.0,0.0
links,services urban decentral water tanks charger,0.0,0.0,0.0,0.0
links,services urban decentral water tanks discharger,0.0,0.0,0.0,0.0
links,shipping methanol,0.0,0.0,0.0,0.0
links,solid biomass transport,0.0,484940444.42703915,486125484.31449115,482385874.6629139
links,urban central water tanks charger,0.0,0.0,0.0,0.0
links,urban central water tanks discharger,0.0,0.0,0.0,0.0
stores,Li ion,0.0,0.0,0.0,0.0
stores,NH3,0.0,876976.701617533,55042970.42761983,234343825.82149485
stores,biogas,0.0,0.0,0.0,0.0
stores,lignite,0.0,70540779.51514134,77696770.06446457,64558601.36429118
stores,methanol,0.0,0.0,0.0,0.0
stores,residential rural water tanks,0.0,431272663.43644655,547621250.8065633,554969007.1511741
stores,residential urban decentral water tanks,0.0,1209554760.8037305,1450531706.233478,1453942830.9240668
stores,services rural water tanks,0.0,159743762.63204056,213135946.39498594,217385111.3920216
stores,services urban decentral water tanks,0.0,455005241.5352397,543930522.3101418,544222840.7011913
stores,uranium,0.0,70539631.94454814,77700868.6763095,64566116.676157035
stores,urban central water tanks,0.0,156190811.03416407,817316951.4920914,965137497.6522645
