Year,Solar,ROR,Wind (Onshore),Wind (Offshore),AC Lines,DC Lines,Distrib Grid,PHS,Hydro,Battery
2034,61484.84604969939,369872.249707527,137281.73511528078,525295.4542474349,27469.242495940398,38792.04531461013,60335.49422081599,219278.67875428518,219278.67875428518,13153.103932158365
2035,61184.00794199375,370105.4657130803,136966.16409397055,525488.6566095715,27444.964636549164,38838.504932870084,60373.5376343632,219416.94080990713,219416.94080990713,12580.238319661054
2036,60882.74183949076,370338.68171863357,136650.08627934044,525681.6850385813,27420.634352442677,38884.99227705009,60411.58104791042,219555.20286552908,219555.20286552908,12006.64029110382
2037,60581.047742190385,370571.8977241869,136333.50167139043,525874.5395344638,27396.25164362094,38931.50734715017,60449.62446145763,219693.46492115103,219693.46492115103,11432.30984648667
2038,60278.925650092664,370805.11372974014,136016.4102701205,526067.2200972192,27371.816510083958,38978.05014317031,60487.667875004845,219831.72697677297,219831.72697677297,10857.246985809603
2039,59976.375563197565,371038.32973529346,135698.81207553073,526259.7267268477,27347.32895183173,39024.6206651105,60525.71128855206,219969.98903239492,219969.98903239492,10281.451709072615
2040,59673.39748150511,371271.5457408467,135380.70708762103,526452.059423349,27322.78896886425,39071.21891297076,60563.75470209927,220108.25108801687,220108.25108801687,9704.924016275709
2041,59483.2230073633,371504.7617464001,135279.95516184912,525829.8736128225,27292.983474840206,39124.99818659796,60601.7981156465,220246.51314363885,220246.51314363885,9636.258652863988
2042,59292.762703072985,371737.97775195335,135178.96997036977,525206.4914424964,27263.119010961786,39178.81416726303,60639.84152919372,220384.7751992608,220384.7751992608,9567.499424749914
2043,59102.016568634164,371971.19375750667,135077.75151318306,524581.9129123709,27233.195577229017,39232.66685496597,60677.88494274093,220523.03725488274,220523.03725488274,9498.64633193349
2044,58910.98460404683,372204.4097630599,134976.299790289,523956.1380224459,27203.21317364188,39286.55624970679,60715.92835628815,220661.2993105047,220661.2993105047,9429.699374414715
2045,58719.66680931102,372437.62576861324,134874.61480168757,523329.16677272134,27173.171800200395,39340.48235148548,60753.97176983536,220799.56136612664,220799.56136612664,9360.65855219359
2046,58528.06318442668,372670.8417741665,134772.69654737873,522700.99916319735,27143.071456904538,39394.44516030204,60792.01518338259,220937.8234217486,220937.8234217486,9291.523865270114
2047,58336.17372939384,372904.0577797198,134670.54502736253,522071.6351938738,27112.912143754325,39448.44467615649,60830.0585969298,221076.08547737054,221076.08547737054,9222.295313644287
2048,58143.998444212506,373137.27378527314,134568.16024163898,521441.0748647508,27082.69386074976,39502.4808990488,60868.102010477014,221214.34753299248,221214.34753299248,9152.972897316107
2049,57951.53732888267,373370.4897908264,134465.542190208,520809.3181758282,27052.416607890827,39556.553828978984,60906.14542402423,221352.60958861443,221352.60958861443,9083.556616285578
2050,57758.790383404325,373603.7057963797,134362.69087306975,520176.36512710626,27022.080385177538,39610.66346594705,60944.18883757145,221490.87164423638,221490.87164423638,9014.046470552697
